,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
1733158,2018-10-17,D. Booker makes 3-pt jump shot from 25 ft,77,D. Booker - bookede01,make,3-pt jump shot
1786091,2018-11-02,D. Booker misses 2-pt jump shot from 5 ft,56,D. Booker - bookede01,miss,2-pt jump shot
1786099,2018-11-02,D. Booker makes 3-pt jump shot from 23 ft (assist by I. Canaan),30,D. Booker - bookede01,make,3-pt jump shot
1792663,2018-11-04,D. Booker misses 2-pt jump shot from 1 ft,75,D. Booker - bookede01,miss,2-pt jump shot
1792668,2018-11-04,D. Booker makes 2-pt jump shot from 20 ft,29,D. Booker - bookede01,make,2-pt jump shot
1792672,2018-11-04,D. Booker makes 2-pt jump shot from 17 ft,2,D. Booker - bookede01,make,2-pt jump shot
1805276,2018-11-08,D. Booker misses 3-pt jump shot from 26 ft,101,D. Booker - bookede01,miss,3-pt jump shot
1805279,2018-11-08,D. Booker makes 2-pt jump shot from 11 ft (assist by T. Ariza),97,D. Booker - bookede01,make,2-pt jump shot
1805312,2018-11-08,D. Booker misses 3-pt jump shot from 69 ft,0,D. Booker - bookede01,miss,3-pt jump shot
1837941,2018-11-17,D. Booker misses 2-pt jump shot from 8 ft,19,D. Booker - bookede01,miss,2-pt jump shot
1842111,2018-11-19,D. Booker misses 3-pt jump shot from 26 ft,80,D. Booker - bookede01,miss,3-pt jump shot
1842124,2018-11-19,D. Booker misses 3-pt jump shot from 28 ft,18,D. Booker - bookede01,miss,3-pt jump shot
1848710,2018-11-21,D. Booker makes 2-pt jump shot from 7 ft,109,D. Booker - bookede01,make,2-pt jump shot
1848721,2018-11-21,D. Booker misses 3-pt jump shot from 26 ft,31,D. Booker - bookede01,miss,3-pt jump shot
1857707,2018-11-23,D. Booker misses 2-pt jump shot from 16 ft,112,D. Booker - bookede01,miss,2-pt jump shot
1871651,2018-11-27,D. Booker misses 2-pt layup from 5 ft,99,D. Booker - bookede01,miss,2-pt layup
1871664,2018-11-27,D. Booker makes 3-pt jump shot from 27 ft (assist by J. Crawford),45,D. Booker - bookede01,make,3-pt jump shot
1871667,2018-11-27,D. Booker misses 3-pt jump shot from 26 ft,18,D. Booker - bookede01,miss,3-pt jump shot
1876301,2018-11-28,D. Booker misses 3-pt jump shot from 27 ft,90,D. Booker - bookede01,miss,3-pt jump shot
1931851,2018-12-15,D. Booker makes 2-pt layup from 1 ft (assist by J. Crawford),32,D. Booker - bookede01,make,2-pt layup
1935955,2018-12-17,D. Booker makes 2-pt jump shot from 19 ft,108,D. Booker - bookede01,make,2-pt jump shot
1935969,2018-12-17,D. Booker makes 2-pt layup from 1 ft,55,D. Booker - bookede01,make,2-pt layup
1935972,2018-12-17,D. Booker misses 2-pt jump shot from 16 ft,41,D. Booker - bookede01,miss,2-pt jump shot
1952601,2018-12-22,D. Booker misses 3-pt jump shot from 28 ft,113,D. Booker - bookede01,miss,3-pt jump shot
1952608,2018-12-22,D. Booker makes 2-pt jump shot from 5 ft,54,D. Booker - bookede01,make,2-pt jump shot
1952626,2018-12-22,D. Booker misses 3-pt jump shot from 30 ft,1,D. Booker - bookede01,miss,3-pt jump shot
1956946,2018-12-23,D. Booker makes 2-pt jump shot from 3 ft,117,D. Booker - bookede01,make,2-pt jump shot
1956952,2018-12-23,D. Booker misses 3-pt jump shot from 25 ft,87,D. Booker - bookede01,miss,3-pt jump shot
1956963,2018-12-23,D. Booker makes 2-pt jump shot from 16 ft,13,D. Booker - bookede01,make,2-pt jump shot
1963528,2018-12-26,D. Booker makes 3-pt jump shot from 25 ft,60,D. Booker - bookede01,make,3-pt jump shot
1963530,2018-12-26,D. Booker makes 2-pt dunk from 2 ft (assist by M. Bridges),46,D. Booker - bookede01,make,2-pt dunk
1963536,2018-12-26,D. Booker makes 2-pt layup from 2 ft,16,D. Booker - bookede01,make,2-pt layup
1963554,2018-12-26,D. Booker misses 3-pt jump shot from 25 ft,0,D. Booker - bookede01,miss,3-pt jump shot
1977677,2018-12-29,D. Booker misses 2-pt jump shot from 6 ft,79,D. Booker - bookede01,miss,2-pt jump shot
1990744,2019-01-02,D. Booker makes 2-pt jump shot from 3 ft,61,D. Booker - bookede01,make,2-pt jump shot
1990764,2019-01-02,D. Booker makes 3-pt jump shot from 27 ft (assist by M. Bridges),14,D. Booker - bookede01,make,3-pt jump shot
1990772,2019-01-02,D. Booker misses 3-pt jump shot from 36 ft,9,D. Booker - bookede01,miss,3-pt jump shot
1990774,2019-01-02,D. Booker makes 2-pt layup from 1 ft,5,D. Booker - bookede01,make,2-pt layup
1996397,2019-01-04,D. Booker makes 3-pt jump shot from 26 ft (assist by T. Warren),52,D. Booker - bookede01,make,3-pt jump shot
1996409,2019-01-04,D. Booker makes 2-pt jump shot from 13 ft,13,D. Booker - bookede01,make,2-pt jump shot
2080760,2019-01-29,D. Booker makes 2-pt jump shot from 17 ft,24,D. Booker - bookede01,make,2-pt jump shot
2094428,2019-02-02,D. Booker misses 2-pt layup from 1 ft,83,D. Booker - bookede01,miss,2-pt layup
2094434,2019-02-02,D. Booker misses 3-pt jump shot from 25 ft,74,D. Booker - bookede01,miss,3-pt jump shot
2094437,2019-02-02,D. Booker makes 2-pt layup at rim,51,D. Booker - bookede01,make,2-pt layup
2118598,2019-02-10,D. Booker makes 3-pt jump shot from 25 ft,74,D. Booker - bookede01,make,3-pt jump shot
2118604,2019-02-10,D. Booker misses 2-pt jump shot from 5 ft,26,D. Booker - bookede01,miss,2-pt jump shot
2118606,2019-02-10,D. Booker makes 2-pt hook shot from 4 ft,22,D. Booker - bookede01,make,2-pt hook shot
2133104,2019-02-21,D. Booker makes 2-pt dunk from 1 ft,67,D. Booker - bookede01,make,2-pt dunk
2140986,2019-02-23,D. Booker misses 3-pt jump shot from 25 ft,28,D. Booker - bookede01,miss,3-pt jump shot
2149393,2019-02-25,D. Booker misses 2-pt layup from 5 ft (block by B. Adebayo),49,D. Booker - bookede01,miss,2-pt layup
2169147,2019-03-02,D. Booker misses 3-pt jump shot from 29 ft,92,D. Booker - bookede01,miss,3-pt jump shot
2183241,2019-03-06,D. Booker misses 2-pt jump shot from 18 ft,112,D. Booker - bookede01,miss,2-pt jump shot
2209916,2019-03-15,D. Booker makes 2-pt layup at rim,46,D. Booker - bookede01,make,2-pt layup
2209930,2019-03-15,D. Booker misses 3-pt jump shot from 25 ft,7,D. Booker - bookede01,miss,3-pt jump shot
2212854,2019-03-16,D. Booker makes 2-pt jump shot from 9 ft,98,D. Booker - bookede01,make,2-pt jump shot
2212856,2019-03-16,D. Booker makes 2-pt jump shot from 13 ft,68,D. Booker - bookede01,make,2-pt jump shot
2212858,2019-03-16,D. Booker misses 2-pt jump shot from 21 ft,39,D. Booker - bookede01,miss,2-pt jump shot
2212864,2019-03-16,D. Booker makes 2-pt layup from 2 ft,18,D. Booker - bookede01,make,2-pt layup
2240548,2019-03-23,D. Booker misses 3-pt jump shot from 23 ft,15,D. Booker - bookede01,miss,3-pt jump shot
2245430,2019-03-25,D. Booker misses 2-pt jump shot from 22 ft,107,D. Booker - bookede01,miss,2-pt jump shot
2245433,2019-03-25,D. Booker makes 2-pt jump shot from 14 ft (assist by E. Okobo),91,D. Booker - bookede01,make,2-pt jump shot
2252541,2019-03-27,D. Booker makes 2-pt layup from 1 ft (assist by J. Crawford),90,D. Booker - bookede01,make,2-pt layup
2252545,2019-03-27,D. Booker misses 3-pt jump shot from 26 ft,48,D. Booker - bookede01,miss,3-pt jump shot
2263496,2019-03-30,D. Booker makes 2-pt jump shot from 12 ft,87,D. Booker - bookede01,make,2-pt jump shot
2271000,2019-04-01,D. Booker makes 2-pt jump shot from 17 ft,67,D. Booker - bookede01,make,2-pt jump shot
2271003,2019-04-01,D. Booker makes 3-pt jump shot from 25 ft,36,D. Booker - bookede01,make,3-pt jump shot
