,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
11641,2017-10-20,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson),70,S. Curry - curryst01,make,3-pt jump shot
14506,2017-10-21,S. Curry makes 2-pt layup at rim,120,S. Curry - curryst01,make,2-pt layup
14513,2017-10-21,S. Curry makes 3-pt jump shot from 25 ft,69,S. Curry - curryst01,make,3-pt jump shot
14517,2017-10-21,S. Curry makes 2-pt layup at rim,43,S. Curry - curryst01,make,2-pt layup
29195,2017-10-25,S. Curry makes 2-pt layup from 2 ft (assist by A. Iguodala),88,S. Curry - curryst01,make,2-pt layup
29202,2017-10-25,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),32,S. Curry - curryst01,make,3-pt jump shot
34716,2017-10-27,S. Curry misses 3-pt jump shot from 29 ft,51,S. Curry - curryst01,miss,3-pt jump shot
41923,2017-10-29,S. Curry misses 2-pt layup from 2 ft,113,S. Curry - curryst01,miss,2-pt layup
41925,2017-10-29,S. Curry misses 3-pt jump shot from 25 ft,111,S. Curry - curryst01,miss,3-pt jump shot
98362,2017-11-16,S. Curry misses 3-pt jump shot from 24 ft,4,S. Curry - curryst01,miss,3-pt jump shot
129345,2017-11-25,S. Curry makes 2-pt layup from 2 ft,114,S. Curry - curryst01,make,2-pt layup
129362,2017-11-25,S. Curry makes 3-pt jump shot from 26 ft,51,S. Curry - curryst01,make,3-pt jump shot
141582,2017-11-29,S. Curry misses 2-pt jump shot from 21 ft,71,S. Curry - curryst01,miss,2-pt jump shot
253222,2018-01-03,S. Curry misses 3-pt jump shot from 27 ft,63,S. Curry - curryst01,miss,3-pt jump shot
253231,2018-01-03,S. Curry makes 3-pt jump shot from 27 ft,3,S. Curry - curryst01,make,3-pt jump shot
254936,2018-01-04,S. Curry misses 2-pt layup at rim,107,S. Curry - curryst01,miss,2-pt layup
254944,2018-01-04,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),41,S. Curry - curryst01,make,2-pt layup
284247,2018-01-13,S. Curry misses 2-pt jump shot from 15 ft,77,S. Curry - curryst01,miss,2-pt jump shot
305886,2018-01-20,S. Curry misses 3-pt jump shot from 26 ft (block by J. Harden),68,S. Curry - curryst01,miss,3-pt jump shot
305898,2018-01-20,S. Curry misses 3-pt jump shot from 25 ft,22,S. Curry - curryst01,miss,3-pt jump shot
321341,2018-01-25,S. Curry makes 3-pt jump shot from 27 ft (assist by A. Iguodala),98,S. Curry - curryst01,make,3-pt jump shot
328017,2018-01-27,S. Curry makes 3-pt jump shot from 27 ft,105,S. Curry - curryst01,make,3-pt jump shot
328020,2018-01-27,S. Curry makes 2-pt layup from 1 ft,68,S. Curry - curryst01,make,2-pt layup
351176,2018-02-03,S. Curry misses 3-pt jump shot from 25 ft,114,S. Curry - curryst01,miss,3-pt jump shot
351203,2018-02-03,S. Curry makes 3-pt jump shot from 31 ft (assist by D. Green),21,S. Curry - curryst01,make,3-pt jump shot
391919,2018-02-22,S. Curry makes 3-pt jump shot from 29 ft,107,S. Curry - curryst01,make,3-pt jump shot
391926,2018-02-22,S. Curry makes 3-pt jump shot from 25 ft,94,S. Curry - curryst01,make,3-pt jump shot
576631,2018-05-01,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),107,S. Curry - curryst01,make,3-pt jump shot
583771,2018-05-14,S. Curry makes 2-pt layup from 3 ft (assist by K. Durant),110,S. Curry - curryst01,make,2-pt layup
586457,2018-05-22,S. Curry misses 3-pt jump shot from 27 ft,67,S. Curry - curryst01,miss,3-pt jump shot
586465,2018-05-22,S. Curry misses 2-pt layup from 1 ft,37,S. Curry - curryst01,miss,2-pt layup
587341,2018-05-24,S. Curry misses 2-pt jump shot from 6 ft,13,S. Curry - curryst01,miss,2-pt jump shot
589050,2018-05-28,S. Curry misses 3-pt jump shot from 25 ft,48,S. Curry - curryst01,miss,3-pt jump shot
589451,2018-05-31,S. Curry misses 2-pt jump shot from 13 ft,106,S. Curry - curryst01,miss,2-pt jump shot
589472,2018-05-31,S. Curry makes 2-pt layup from 2 ft,23,S. Curry - curryst01,make,2-pt layup
