,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
15856,2017-10-21,D. Lillard makes 3-pt jump shot from 27 ft,95,D. Lillard - lillada01,make,3-pt jump shot
38275,2017-10-28,D. Lillard misses 2-pt layup from 1 ft,113,D. Lillard - lillada01,miss,2-pt layup
38291,2017-10-28,D. Lillard makes 2-pt jump shot from 12 ft,29,D. Lillard - lillada01,make,2-pt jump shot
45646,2017-10-30,D. Lillard makes 2-pt jump shot from 2 ft,91,D. Lillard - lillada01,make,2-pt jump shot
52900,2017-11-01,D. Lillard misses 3-pt jump shot from 29 ft,95,D. Lillard - lillada01,miss,3-pt jump shot
52906,2017-11-01,D. Lillard makes 2-pt layup from 1 ft,45,D. Lillard - lillada01,make,2-pt layup
52912,2017-11-01,D. Lillard misses 3-pt jump shot from 27 ft,13,D. Lillard - lillada01,miss,3-pt jump shot
52917,2017-11-01,D. Lillard misses 2-pt jump shot from 16 ft (block by R. Gobert),0,D. Lillard - lillada01,miss,2-pt jump shot
54295,2017-11-02,D. Lillard makes 2-pt layup at rim,51,D. Lillard - lillada01,make,2-pt layup
54306,2017-11-02,D. Lillard makes 3-pt jump shot from 29 ft,1,D. Lillard - lillada01,make,3-pt jump shot
66104,2017-11-05,D. Lillard makes 2-pt layup from 1 ft,29,D. Lillard - lillada01,make,2-pt layup
97362,2017-11-15,D. Lillard makes 2-pt layup at rim,76,D. Lillard - lillada01,make,2-pt layup
97364,2017-11-15,D. Lillard misses 2-pt jump shot from 20 ft,50,D. Lillard - lillada01,miss,2-pt jump shot
102826,2017-11-17,D. Lillard makes 2-pt layup from 4 ft,32,D. Lillard - lillada01,make,2-pt layup
102829,2017-11-17,D. Lillard misses 3-pt jump shot from 28 ft,6,D. Lillard - lillada01,miss,3-pt jump shot
102838,2017-11-17,D. Lillard misses 3-pt jump shot from 27 ft,1,D. Lillard - lillada01,miss,3-pt jump shot
121900,2017-11-24,D. Lillard misses 2-pt layup from 1 ft (block by J. Allen),102,D. Lillard - lillada01,miss,2-pt layup
133203,2017-11-27,D. Lillard misses 3-pt jump shot from 25 ft,86,D. Lillard - lillada01,miss,3-pt jump shot
133209,2017-11-27,D. Lillard makes 2-pt layup from 3 ft,56,D. Lillard - lillada01,make,2-pt layup
150888,2017-12-02,D. Lillard misses 3-pt jump shot from 28 ft,113,D. Lillard - lillada01,miss,3-pt jump shot
150907,2017-12-02,D. Lillard makes 2-pt layup from 1 ft,36,D. Lillard - lillada01,make,2-pt layup
150915,2017-12-02,D. Lillard makes 3-pt jump shot from 30 ft (assist by P. Connaughton),12,D. Lillard - lillada01,make,3-pt jump shot
150925,2017-12-02,D. Lillard misses 2-pt jump shot from 17 ft,0,D. Lillard - lillada01,miss,2-pt jump shot
159350,2017-12-05,D. Lillard misses 2-pt layup from 1 ft,15,D. Lillard - lillada01,miss,2-pt layup
173633,2017-12-09,D. Lillard makes 2-pt layup from 2 ft,99,D. Lillard - lillada01,make,2-pt layup
173635,2017-12-09,D. Lillard misses 2-pt jump shot from 15 ft,74,D. Lillard - lillada01,miss,2-pt jump shot
173645,2017-12-09,D. Lillard misses 3-pt jump shot from 26 ft,20,D. Lillard - lillada01,miss,3-pt jump shot
178460,2017-12-11,D. Lillard misses 2-pt jump shot from 19 ft,109,D. Lillard - lillada01,miss,2-pt jump shot
184278,2017-12-13,D. Lillard makes 2-pt layup from 1 ft,100,D. Lillard - lillada01,make,2-pt layup
193780,2017-12-16,D. Lillard misses 3-pt jump shot from 24 ft,64,D. Lillard - lillada01,miss,3-pt jump shot
201178,2017-12-18,D. Lillard misses 2-pt layup at rim,10,D. Lillard - lillada01,miss,2-pt layup
201187,2017-12-18,D. Lillard misses 3-pt jump shot from 26 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
273912,2018-01-10,D. Lillard makes 2-pt layup from 2 ft,98,D. Lillard - lillada01,make,2-pt layup
281060,2018-01-12,D. Lillard misses 2-pt layup from 2 ft (block by A. Davis),66,D. Lillard - lillada01,miss,2-pt layup
293822,2018-01-16,D. Lillard misses 2-pt layup from 1 ft,102,D. Lillard - lillada01,miss,2-pt layup
307285,2018-01-20,D. Lillard makes 2-pt layup from 1 ft,106,D. Lillard - lillada01,make,2-pt layup
307288,2018-01-20,D. Lillard misses 3-pt jump shot from 26 ft,78,D. Lillard - lillada01,miss,3-pt jump shot
312748,2018-01-22,D. Lillard makes 2-pt layup from 5 ft,41,D. Lillard - lillada01,make,2-pt layup
312764,2018-01-22,D. Lillard misses 2-pt layup from 5 ft (block by M. Plumlee),9,D. Lillard - lillada01,miss,2-pt layup
338682,2018-01-30,D. Lillard misses 3-pt jump shot from 26 ft,65,D. Lillard - lillada01,miss,3-pt jump shot
338687,2018-01-30,D. Lillard misses 2-pt layup at rim,39,D. Lillard - lillada01,miss,2-pt layup
352919,2018-02-04,D. Lillard makes 3-pt jump shot from 26 ft,65,D. Lillard - lillada01,make,3-pt jump shot
352925,2018-02-04,D. Lillard makes 2-pt jump shot from 11 ft,35,D. Lillard - lillada01,make,2-pt jump shot
352928,2018-02-04,D. Lillard makes 2-pt layup from 2 ft,7,D. Lillard - lillada01,make,2-pt layup
365757,2018-02-08,D. Lillard misses 3-pt jump shot from 32 ft,52,D. Lillard - lillada01,miss,3-pt jump shot
365763,2018-02-08,D. Lillard misses 2-pt jump shot from 17 ft,6,D. Lillard - lillada01,miss,2-pt jump shot
377485,2018-02-11,D. Lillard makes 2-pt jump shot from 18 ft,94,D. Lillard - lillada01,make,2-pt jump shot
388294,2018-02-14,D. Lillard misses 2-pt jump shot from 6 ft,73,D. Lillard - lillada01,miss,2-pt jump shot
399849,2018-02-24,D. Lillard makes 3-pt jump shot from 26 ft,70,D. Lillard - lillada01,make,3-pt jump shot
399856,2018-02-24,D. Lillard misses 2-pt layup from 3 ft (block by S. Harrison),54,D. Lillard - lillada01,miss,2-pt layup
399861,2018-02-24,D. Lillard makes 2-pt jump shot from 14 ft,28,D. Lillard - lillada01,make,2-pt jump shot
399867,2018-02-24,D. Lillard makes 2-pt layup at rim,0,D. Lillard - lillada01,make,2-pt layup
416315,2018-03-01,D. Lillard makes 3-pt jump shot from 25 ft,98,D. Lillard - lillada01,make,3-pt jump shot
416320,2018-03-01,D. Lillard misses 3-pt jump shot from 25 ft,75,D. Lillard - lillada01,miss,3-pt jump shot
430391,2018-03-05,D. Lillard misses 2-pt jump shot from 22 ft,37,D. Lillard - lillada01,miss,2-pt jump shot
442963,2018-03-09,D. Lillard misses 2-pt layup from 1 ft,91,D. Lillard - lillada01,miss,2-pt layup
451839,2018-03-12,D. Lillard misses 2-pt layup at rim (block by J. Winslow),112,D. Lillard - lillada01,miss,2-pt layup
462978,2018-03-15,D. Lillard misses 2-pt layup at rim,73,D. Lillard - lillada01,miss,2-pt layup
470621,2018-03-17,D. Lillard misses 3-pt jump shot from 27 ft (block by A. Drummond),37,D. Lillard - lillada01,miss,3-pt jump shot
479241,2018-03-20,D. Lillard makes 2-pt layup at rim,67,D. Lillard - lillada01,make,2-pt layup
479254,2018-03-20,D. Lillard misses 3-pt jump shot from 29 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
489543,2018-03-23,D. Lillard misses 2-pt layup from 2 ft (block by A. Horford),112,D. Lillard - lillada01,miss,2-pt layup
489545,2018-03-23,D. Lillard makes 2-pt layup from 1 ft,105,D. Lillard - lillada01,make,2-pt layup
489548,2018-03-23,D. Lillard misses 3-pt jump shot from 28 ft,77,D. Lillard - lillada01,miss,3-pt jump shot
489568,2018-03-23,D. Lillard misses 3-pt jump shot from 32 ft,1,D. Lillard - lillada01,miss,3-pt jump shot
495872,2018-03-25,D. Lillard misses 2-pt layup from 1 ft,98,D. Lillard - lillada01,miss,2-pt layup
495885,2018-03-25,D. Lillard makes 3-pt jump shot from 22 ft (assist by M. Harkless),40,D. Lillard - lillada01,make,3-pt jump shot
501203,2018-03-27,D. Lillard makes 2-pt jump shot from 5 ft,80,D. Lillard - lillada01,make,2-pt jump shot
501209,2018-03-27,D. Lillard misses 2-pt layup from 6 ft,29,D. Lillard - lillada01,miss,2-pt layup
524424,2018-04-03,D. Lillard makes 2-pt jump shot from 22 ft (assist by E. Turner),3,D. Lillard - lillada01,make,2-pt jump shot
538836,2018-04-07,D. Lillard makes 3-pt jump shot from 25 ft,104,D. Lillard - lillada01,make,3-pt jump shot
538841,2018-04-07,D. Lillard misses 3-pt jump shot from 24 ft,67,D. Lillard - lillada01,miss,3-pt jump shot
545400,2018-04-09,D. Lillard misses 2-pt jump shot from 5 ft,98,D. Lillard - lillada01,miss,2-pt jump shot
545403,2018-04-09,D. Lillard makes 2-pt layup from 2 ft (assist by C. McCollum),72,D. Lillard - lillada01,make,2-pt layup
545423,2018-04-09,D. Lillard misses 2-pt jump shot from 9 ft,24,D. Lillard - lillada01,miss,2-pt jump shot
545434,2018-04-09,D. Lillard makes 2-pt layup from 2 ft,12,D. Lillard - lillada01,make,2-pt layup
555857,2018-04-14,D. Lillard misses 2-pt jump shot from 4 ft,15,D. Lillard - lillada01,miss,2-pt jump shot
559954,2018-04-17,D. Lillard makes 2-pt layup at rim (assist by P. Connaughton),38,D. Lillard - lillada01,make,2-pt layup
559966,2018-04-17,D. Lillard misses 3-pt jump shot from 28 ft,11,D. Lillard - lillada01,miss,3-pt jump shot
