,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
2471293,2015-11-04,D. Lillard misses 2-pt jump shot from 9 ft (block by E. Millsap),37,D. Lillard - lillada01,miss,2-pt jump shot
2485189,2015-11-08,D. Lillard makes 3-pt jump shot from 25 ft,93,D. Lillard - lillada01,make,3-pt jump shot
2485191,2015-11-08,D. Lillard misses 3-pt jump shot from 28 ft,77,D. Lillard - lillada01,miss,3-pt jump shot
2487012,2015-11-09,D. Lillard misses 3-pt jump shot from 28 ft,32,D. Lillard - lillada01,miss,3-pt jump shot
2487020,2015-11-09,D. Lillard misses 2-pt layup from 2 ft (block by E. Mudiay),10,D. Lillard - lillada01,miss,2-pt layup
2496550,2015-11-11,D. Lillard misses 2-pt layup from 1 ft (block by L. Aldridge),67,D. Lillard - lillada01,miss,2-pt layup
2511885,2015-11-16,D. Lillard misses 2-pt jump shot from 5 ft (block by T. Duncan),91,D. Lillard - lillada01,miss,2-pt jump shot
2511895,2015-11-16,D. Lillard misses 2-pt jump shot from 4 ft (block by K. Anderson),63,D. Lillard - lillada01,miss,2-pt jump shot
2511902,2015-11-16,D. Lillard misses 3-pt jump shot from 27 ft,1,D. Lillard - lillada01,miss,3-pt jump shot
2518358,2015-11-18,D. Lillard makes 2-pt layup from 2 ft,84,D. Lillard - lillada01,make,2-pt layup
2518401,2015-11-18,D. Lillard misses 3-pt jump shot from 35 ft (block by J. Harden),0,D. Lillard - lillada01,miss,3-pt jump shot
2525581,2015-11-20,D. Lillard makes 3-pt jump shot from 27 ft (assist by A. Aminu),106,D. Lillard - lillada01,make,3-pt jump shot
2525590,2015-11-20,D. Lillard misses 3-pt jump shot from 24 ft,55,D. Lillard - lillada01,miss,3-pt jump shot
2532465,2015-11-22,D. Lillard misses 3-pt jump shot from 24 ft,103,D. Lillard - lillada01,miss,3-pt jump shot
2538019,2015-11-24,D. Lillard misses 2-pt jump shot from 3 ft,96,D. Lillard - lillada01,miss,2-pt jump shot
2538061,2015-11-24,D. Lillard misses 3-pt jump shot from 36 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
2551949,2015-11-28,D. Lillard makes 2-pt jump shot from 3 ft,93,D. Lillard - lillada01,make,2-pt jump shot
2551953,2015-11-28,D. Lillard misses 2-pt jump shot from 20 ft,60,D. Lillard - lillada01,miss,2-pt jump shot
2562612,2015-12-01,D. Lillard misses 2-pt jump shot from 16 ft (block by D. Williams),27,D. Lillard - lillada01,miss,2-pt jump shot
2562620,2015-12-01,D. Lillard misses 3-pt jump shot from 28 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
2575254,2015-12-05,D. Lillard makes 2-pt layup at rim,19,D. Lillard - lillada01,make,2-pt layup
2582620,2015-12-07,D. Lillard misses 2-pt layup from 1 ft,47,D. Lillard - lillada01,miss,2-pt layup
2584022,2015-12-08,D. Lillard makes 3-pt jump shot from 24 ft,105,D. Lillard - lillada01,make,3-pt jump shot
2584025,2015-12-08,D. Lillard misses 3-pt jump shot from 29 ft,82,D. Lillard - lillada01,miss,3-pt jump shot
2584033,2015-12-08,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),48,D. Lillard - lillada01,make,3-pt jump shot
2601640,2015-12-12,D. Lillard makes 2-pt jump shot from 21 ft,90,D. Lillard - lillada01,make,2-pt jump shot
2601645,2015-12-12,D. Lillard misses 2-pt layup from 1 ft,43,D. Lillard - lillada01,miss,2-pt layup
2601652,2015-12-12,D. Lillard makes 2-pt layup from 1 ft,25,D. Lillard - lillada01,make,2-pt layup
2601659,2015-12-12,D. Lillard misses 2-pt layup from 2 ft,18,D. Lillard - lillada01,miss,2-pt layup
2601676,2015-12-12,D. Lillard misses 3-pt jump shot from 27 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
2617342,2015-12-18,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),101,D. Lillard - lillada01,make,3-pt jump shot
2617348,2015-12-18,D. Lillard misses 3-pt jump shot from 25 ft,72,D. Lillard - lillada01,miss,3-pt jump shot
2625332,2015-12-20,D. Lillard misses 3-pt jump shot from 24 ft,25,D. Lillard - lillada01,miss,3-pt jump shot
2684414,2016-01-06,D. Lillard misses 3-pt jump shot from 24 ft,41,D. Lillard - lillada01,miss,3-pt jump shot
2684417,2016-01-06,D. Lillard misses 2-pt layup from 2 ft,4,D. Lillard - lillada01,miss,2-pt layup
2697487,2016-01-10,D. Lillard makes 3-pt jump shot from 24 ft (assist by C. McCollum),92,D. Lillard - lillada01,make,3-pt jump shot
2697489,2016-01-10,D. Lillard makes 3-pt jump shot from 25 ft,72,D. Lillard - lillada01,make,3-pt jump shot
2697497,2016-01-10,D. Lillard misses 3-pt jump shot from 25 ft,4,D. Lillard - lillada01,miss,3-pt jump shot
2712131,2016-01-15,D. Lillard makes 2-pt jump shot from 19 ft,80,D. Lillard - lillada01,make,2-pt jump shot
2712137,2016-01-15,D. Lillard makes 2-pt jump shot from 4 ft,47,D. Lillard - lillada01,make,2-pt jump shot
2731942,2016-01-20,D. Lillard misses 2-pt jump shot from 17 ft,74,D. Lillard - lillada01,miss,2-pt jump shot
2731974,2016-01-20,D. Lillard misses 2-pt layup at rim,6,D. Lillard - lillada01,miss,2-pt layup
2761561,2016-01-29,D. Lillard makes 2-pt jump shot from 14 ft,99,D. Lillard - lillada01,make,2-pt jump shot
2767971,2016-01-31,D. Lillard misses 3-pt jump shot from 24 ft,26,D. Lillard - lillada01,miss,3-pt jump shot
2781614,2016-02-04,D. Lillard makes 2-pt jump shot from 19 ft,83,D. Lillard - lillada01,make,2-pt jump shot
2781637,2016-02-04,D. Lillard misses 2-pt layup from 2 ft,30,D. Lillard - lillada01,miss,2-pt layup
2786670,2016-02-06,D. Lillard misses 2-pt layup from 2 ft,108,D. Lillard - lillada01,miss,2-pt layup
2786678,2016-02-06,D. Lillard makes 2-pt jump shot from 15 ft,50,D. Lillard - lillada01,make,2-pt jump shot
2796217,2016-02-08,D. Lillard makes 2-pt jump shot from 7 ft,23,D. Lillard - lillada01,make,2-pt jump shot
2796224,2016-02-08,D. Lillard misses 2-pt jump shot from 20 ft,17,D. Lillard - lillada01,miss,2-pt jump shot
2796238,2016-02-08,D. Lillard misses 3-pt jump shot from 27 ft,2,D. Lillard - lillada01,miss,3-pt jump shot
2820504,2016-02-21,D. Lillard misses 3-pt jump shot from 24 ft,108,D. Lillard - lillada01,miss,3-pt jump shot
